image_id,FN_detection,FP_detection,misclassification,wrong_player,center_error,active_error,gt_center,pred_center,gt_active,pred_active,n_gt,n_pred
L1000902,0,2,1,0,0,1,r_8,r_8,p2,p1,6,8
L1000903,1,0,0,1,0,0,b_8,b_8,p1,p1,5,4
L1000904,0,2,0,0,1,0,g_2,g_reverse,p1,p1,8,10
L1000905,0,0,0,0,0,1,r_0,r_0,p2,p3,4,4
L1000906,0,0,1,0,0,0,g_4,g_4,p4,p4,8,8
L1000907,0,0,0,0,1,1,b_8,r_3,p2,p4,9,9
L1000908,0,0,0,0,1,1,y_7,EMPTY,p2,p4,9,9
L1000909,0,0,0,0,0,0,b_4,b_4,p1,p1,6,6
L1000910,0,1,0,0,0,1,b_5,b_5,p1,p4,9,10
L1000911,0,0,0,0,1,0,r_0,r_8,p2,p2,4,4
L1000912,0,1,0,0,1,0,g_7,g_reverse,p4,p4,6,7
L1000913,0,0,0,0,0,0,b_2,b_2,p4,p4,7,7
L1000914,0,1,0,0,0,0,y_4,y_4,p4,p4,5,6
L1000915,0,0,0,0,1,1,r_3,r_8,p2,p1,9,9
L1000916,1,0,0,0,0,0,y_6,y_6,p4,p4,5,4
L1000917,0,1,0,0,0,0,g_1,g_1,p3,p3,6,7
L1000918,0,1,0,0,0,0,g_8,g_8,p3,p3,3,4
L1000919,0,0,0,0,0,0,b_4,b_4,p4,p4,7,7
L1000920,0,0,0,0,0,0,r_0,r_0,p1,p1,8,8
L1000964,0,1,0,0,0,1,r_2,r_2,p3,p4,4,5
L1000965,1,0,1,1,0,0,b_3,b_3,p4,p4,5,4
L1000966,0,2,2,0,0,0,r_1,r_1,p4,p4,4,6
L1000967,0,0,4,0,1,0,g_7,EMPTY,p1,p1,5,5
L1000968,0,1,1,0,0,0,r_7,r_7,p1,p1,3,4
L1000969,0,1,2,0,0,0,b_6,b_6,p3,p3,4,5
L1000970,0,3,1,0,0,0,r_5,r_5,p1,p1,6,9
L1000971,0,0,5,0,0,0,g_3,g_3,p1,p1,7,7
L1000972,0,0,4,0,0,0,r_6,r_6,p3,p3,7,7
L1000973,3,0,4,0,0,1,b_2,b_2,p3,p2,9,6
L1000974,0,3,1,0,1,1,r_8,r_0,p4,p2,6,9
L1000975,3,0,3,2,0,1,y_3,y_3,p3,p2,10,7
L1000976,0,1,3,0,1,1,r_8,r_0,p1,p2,8,9
L1000977,0,1,4,0,0,0,y_2,y_2,p1,p1,7,8
L1000978,0,1,3,0,1,1,y_8,y_3,p3,p4,9,10
L1000979,0,0,3,0,1,1,r_0,r_2,p1,p4,7,7
L1000980,0,1,2,0,0,1,g_reverse,g_reverse,p3,p2,7,8
L1000981,0,3,2,1,0,1,b_5,b_5,p2,p4,8,11
L1000982,0,3,4,0,0,0,y_4,y_4,p2,p2,10,13
L1000983,0,4,4,0,0,1,b_skip,b_skip,p3,p2,8,12
